URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/1422541465971222318?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P3zBw-FpTYa81nlO&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in Al Aqeeq,Luxury Studio Next to boulevard,$63,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1323990571884889037?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P38aQol5AbkinFLQ&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in Al Aqeeq,Economy very small elegant private room (no wifi),$31,,1 guest,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hot water', 'TV', 'Air conditioning', 'Refrigerator', 'Microwave', 'Mini fridge', 'Freezer', 'Hot water kettle', 'Laundromat nearby', 'Free street parking', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1041391936532027692?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P3EYAz4kZgjlnxqR&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in Al Nuzha,Studio 212,$39,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.7,44,عبدالكريم,[],"['TV', 'Air conditioning', 'Dedicated workspace', 'Kitchen', 'Free parking on premises', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1449059184583781249?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P3Ti4bEn_g2isWAt&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in An-Narjis,Apartment close to airport,$42,,3 guests,"['1 bedroom', '1 bed', '1 bath']",5.0,4,Sayar سيار,[],"['Shampoo', 'Body soap', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Drying rack for clothing', 'Safe', 'Clothing storage: closet', 'TV', 'Life size games', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Refrigerator', 'Cooking basics', 'Freezer', 'Wine glasses', 'Kitchenette', 'Free street parking', 'Elevator', 'Self check-in', 'Keypad', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1219640186299952806?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P37DFoLjQylFeeRS&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in Al Aqeeq,Quiet Studio | Quiet Studio,$47,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.63,83,Abdullah,[],"['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Iron', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Microwave', 'Dishes and silverware', 'Hot water kettle', 'Wine glasses', 'Trash compactor', 'Kitchenette', 'Dining table', 'Coffee', 'Free parking on premises', 'Luggage dropoff allowed', 'Smoking allowed', 'Self check-in', 'Smart lock', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1179015748367187529?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P3ahfqWBH6AuKAx5&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in Al Nuzha,Modern Studio Neighborhood Quiet 1,$47,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Abdulaziz,[],"['Essentials', 'Hangers', 'Clothing storage', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Free parking on premises', 'Free street parking', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1235953554223936762?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P38LReJavIbniac4&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in Al Aqeeq,"Aziiz Studio
Studio with New Furniture and Self-entry - onyx",$49,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.79,47,Abdulaziz,[],"['Shampoo', 'Hot water', 'Shower gel', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Microwave', 'Dishes and silverware', 'Mini fridge', 'Hot water kettle', 'Kitchenette', 'Coffee', 'Laundromat nearby', 'Free parking on premises', 'Smoking allowed', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/1296427368994405495?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P3eWriTpcp9vF6zO&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Condo in Riyadh,-friendly studio / +Gym / Near airport,$36,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.83,58,Khalid,[],"['Hair dryer', 'Hot water', 'Hangers', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', 'TV', 'Air conditioning', 'Heating', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Refrigerator', 'Cooking basics', 'Mini fridge', 'Freezer', 'Hot water kettle', 'Toaster', 'Trash compactor', 'Laundromat nearby', 'Free parking on premises', 'Elevator', 'Pets allowed', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm']"
https://www.airbnb.com/rooms/1463960481225053985?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P3RO-UE0xC69kdF_&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in Al Sahafa,Studio in a unique location D4,$44,,2 guests,"['1 bedroom', '1 bed', '1 bath']",5.0,4,فيصل,[],"['TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1382807654088493072?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753367801_P3ES5HRkROVfq3eG&previous_page_section_name=1000&federated_search_id=843dd85d-b211-4a99-8f2e-0d0154aa8fca,Apartment in An-Narjis,B305 studio close to airport,$49,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Hometel Hospitality,[],"['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Hangers', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet and wardrobe', 'TV', 'Air conditioning', 'Heating', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Refrigerator', 'Microwave', 'Cooking basics', 'Freezer', 'Hot water kettle', 'Laundromat nearby', 'Free street parking', 'Elevator', 'Pets allowed', 'Luggage dropoff allowed', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Housekeeping available from 2:00\u202fPM to 6:00\u202fPM - available at extra cost', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance']"
