URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/1256015339090764661?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434883_P30c9KLp20kW7DJm&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,Apartment in Riyadh,Modern Stylish Apartment,,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Free parking on premises', 'Self check-in', 'Smart lock', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1470681813599210875?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3VCpwaDtgDOuzo1&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,Apartment in An-Narjis,Narcissus Studio with Master Bed,$48,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'TV', 'Air conditioning', 'Heating', 'Fire extinguisher', 'First aid kit', 'Smoking allowed', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1458694367010793569?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P31NuQ5nOP26Lvb8&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,Apartment in An-Narjis,Narcissus B - Elegant Studio with Modern Hotel Design N 213#,$62,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Tree &amp; Palm Tree,[],"['Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Hangers', 'Iron', 'Drying rack for clothing', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Hot water kettle', 'Free parking on premises', 'Elevator', 'Self check-in', 'Smart lock', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1244180684196306367?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3fCK80wKVHr-Fiw&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,,New Apartment in Narcissus,$78,,3 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['TV', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Self check-in', 'Keypad', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1411196747903980357?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3tY2wZWPocAqVOM&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,,Self-entry quiet studio,$69,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Muteb,[],"['Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'TV', 'Air conditioning', 'Kitchen', 'Refrigerator', 'Dishes and silverware', 'Hot water kettle', 'Coffee', 'Laundromat nearby', 'Elevator', 'Smoking allowed', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/794941553923625423?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3f2YK_b6Y1N057E&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,,Quiet Studio with Self-entry Qadisiyah,$63,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.89,90,Basil,[],"['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Washer', 'Clothing storage', 'TV', 'Air conditioning', 'Wifi', 'Refrigerator', 'Dishes and silverware', 'Free parking on premises', 'Self check-in', 'Keypad', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1099800395044441004?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3ub1_Vv1huARauq&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,,Hotel &amp; Self-Entry Studio,$62,,2 guests,"['1 bedroom', '1 bed', '1 private bath']",,,,[],"['Hair dryer', 'Outdoor shower', 'Iron', 'TV', 'Crib', 'Air conditioning', 'Heating', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'Wifi', 'Microwave', 'Mini fridge', 'Hot water kettle', 'Free parking on premises', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Lockbox', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1264037527015707468?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3hOeGy1VIdE3gp6&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,,New Studio in Hittin District,$63,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,ابو عبدالله,[],"['TV', 'Air conditioning', 'Kitchen', 'Private entrance', 'Laundromat nearby', 'Free parking on premises', 'Smoking allowed', 'Self check-in', 'Building staff', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1019774609456729753?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3MYmJfpT6Mt39zK&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,,Almajdiah Apt. 5 | Self Check-In,$184,,6 guests,"['3 bedrooms', '5 beds', '2.5 baths']",,,,[],"['Shampoo', 'Hot water', 'Washer', 'Essentials', 'Iron', 'TV', 'Air conditioning', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Oven', 'Free parking on premises', 'Pets allowed', 'Self check-in', 'Keypad', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1469027321317123911?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753434885_P3VvL8iQF00u3aKy&previous_page_section_name=1000&federated_search_id=da5adeae-c740-4d95-82b0-0ab0f407f461,,Cozy apt with beautiful patio,$83,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Mohammad,[],"['Hair dryer', 'Shampoo', 'Conditioner', 'Hot water', 'Shower gel', 'Washer', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Exterior security cameras on property', 'Smoke alarm', 'Wifi', 'Kitchen', 'Cooking basics', 'Dining table', 'Free parking on premises', 'Self check-in', 'Building staff', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance']"
