URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities,Reviews,Image_URLs
https://www.airbnb.com/rooms/1264618980230393014?search_mode=regular_search&adults=1&check_in=2025-08-12&check_out=2025-08-17&children=0&infants=0&pets=0&source_impression_id=p3_1754896596_P3w6f658FONUFeBi&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Luxury Hotel Studio with Self - V002,$221,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Shampoo', 'Conditioner', 'Shower gel', 'Washer', 'Essentials', 'TV', 'Wifi', 'Kitchen', 'Microwave', 'Mini fridge', 'Hot water kettle', 'Free parking on premises', 'Free street parking', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Cleaning available during stay', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']","['Some info has been automatically translated.', 'An all-new studio with a stylish and tranquil design consisting of a master bed and a preparatory kitchen - high-speed internet \n\nWonderful Quiet and Services Exhibitor Location📍\n \n-12 minutes King Khalid International Airport✈️.               \n -15 minutes King Abdullah Financial Towers🌃.             \n-15 minutes Riyadh Park Shopping Center🛍️. \n-15 minutes Riyadh season.\n  \nThis space is designed to provide you with comfort and privacy .\n\n\n50007162', 'Saeed is a very nice and kind host. I highly recommend staying in this place. The place is in a very safe and good location.', '👍🏻', 'very good. clean and tidy', 'Thanks', 'ًً', 'It was a pleasant stay there.', 'Free cancellation before 5:00\u202fPM on Aug 11. Cancel before check-in on Aug 12 for a partial refund.', ""Review this Host's full policy for details.""]",[]
https://www.airbnb.com/rooms/1470980936440141059?search_mode=regular_search&adults=1&check_in=2025-08-16&check_out=2025-08-21&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3JICA4LStS7FsnB&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Spacious and comfortable studio in Malqa,$213,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Free parking on premises', 'Self check-in', 'Keypad', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']","['Some info has been automatically translated.', 'This stylish place to stay is perfect for group trips.\n\nRegistration Details\n50032212', 'This home is in the top 5% of eligible listings based on ratings, reviews, and reliability', 'good', 'Everything is beautiful and classy except for the annoying excavation and maintenance work next to the apartment from 7 am to about the afternoon', 'Special thanks to brother Al-Waleed', 'The apartment is not a mistake, God willing', 'A nice, clean place and I recommend it', 'Great experience', 'Free cancellation before 3:00\u202fPM on Aug 11. Cancel before check-in on Aug 16 for a partial refund.', ""Review this Host's full policy for details.""]",[]
https://www.airbnb.com/rooms/1180484327579329938?search_mode=regular_search&adults=1&check_in=2025-08-13&check_out=2025-08-18&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3sNhRpAGek_UpAj&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Self-enterating VIP Studio 10,$212,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hair dryer', 'خزامى shampoo', 'Hot water', 'Essentials', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Refrigerator', 'Mini fridge', 'Hot water kettle', 'Free parking on premises', 'Free street parking', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Smart lock', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Heating\nHeating']","['Some info has been automatically translated.', 'Relax in this studio \nconsisting of \n1 double bed \nA cupboard \nSmart TV \nTable with a tablecloth \nBathroom \nMini fridge \nWifi\nTissues \nSoap \nShampoo \n20 minutes from the Boulevard \n20 minutes from the airport \nClose to services\n\n\n50004628', 'This home is a guest favorite based on ratings, reviews, and reliability', 'Very clean as described, close to airport which was a plus and self check in made everything very easy and flexible as we arrived late in the night. \nRestaurants, cafes and masjids within a small 10/15 minute drive. If you want to get to specific areas like boulevard world, financial district or alulya street you will need a taxi but quite cheap anyway', ""I like it very much. Overall, it's very good. It's clean and the service is 100% good."", 'ممتاز', '👍🏽', 'Great place, clean, tidy... I recommend it!', 'Beautiful accommodation and the owner is very friendly', ""Riyadh Province Saudi Arabia , Al-Arbar District\n\n\n\nOur apartment is located in a key area, offering unparalleled access to Riyadh's business and leisure hotspots. Enjoy a vibrant urban lifestyle with many dining, shopping and entertainment options just minutes away.\n\nNearby attractions:\n\nSouq 5 SAR : just 2 minutes' drive from our apartment making sure everything is available and easily accessible.\n\nRiyadh City Street is just 23 minutes away by Riyadh City Boulevard is a dynamic entertainment complex offering world-class dining, retail and entertainment experiences from concerts and live shows to great restaurants, a must visit during your stay.\n\nBoulevard World is only a 24 minute drive from our apartment\n\nBoulevard World is a great destination for entertainment and entertainment. It features\n\nDining options, shopping outlets and a large selection\n\ncultural events and performances.\n\nDigital City, a 24-minute drive from the apartment, this area is quickly becoming the heart of Riyadh's technology and innovation, and it hosts many technology companies and co-working spaces.\n\nKing Abdullah Financial District (KAFD) KAFD is a 26-minute drive away and is ideal for shopping or enjoying a meal in\nOne of its many restaurants.\n\nKingdom Center: Just a 29-minute drive away from the apartment this famous skyscraper offers stunning panoramic views\non Riyadh from the Sky Bridge. Explore a variety of high-end shopping and dining options within the tower.\n\nTahlia Street: Tahlia Street is famous for its vibrant atmosphere, and is a 30-minute drive from the apartment. It's a favorite destination for dining, shopping and nightlife\nIt features a range of international cuisine and trendy cafés.\n\nLocal Restaurants: 5 mins drive, you'll find a variety of local and international restaurants serving\nEverything from traditional Saudi cuisine to flavour"", 'Free cancellation before 3:00\u202fPM on Aug 12. Cancel before check-in on Aug 13 for a partial refund.', ""Review this Host's full policy for details.""]",[]
https://www.airbnb.com/rooms/1041391936532027692?search_mode=regular_search&adults=1&check_in=2025-08-13&check_out=2025-08-18&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3Bh2R_kVpSabNvi&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Studio 212,$194,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.72,46,,[],"['TV', 'Air conditioning', 'Dedicated workspace', 'Kitchen', 'Free parking on premises', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']","['Some info has been automatically translated.', 'Keep it simple in this quiet and strategic accommodation, close to the public transport bus station and close to basic services, mosque and garden.\n\nRegistration Details\n50004377', 'It was nice staying , Abdulkareem is very responsive. Place is near to restaurants and super market \nNear to airport too . \nFair price , for few days staying', 'Very well located right on the main boulevard! \nVery close to public transport (bus and metro)!\nVery responsive and flexible host!\nVery good value for money!\nThank you Abdulkatim!!', 'عبد الكرىم was very helpful through out the process of getting the accommodation and to my arrival at the accommodation as well during my stay \nAny issue I had and questions was resolved immediately. I would greatly recommend عبد الكرىم as a host', 'Friendly , place is suitable for one person ,\nexactly like pictures . Laundry , supermarket Cafes and bus station 30 M from your place.\nThanks Abdelkarerm for comfort hosting', 'Great value for a few days in Riyadh. Comfy, cosy, clean.', ""The host was very responsive to me. And fast in response, but the place is smaller than the pictures and they do not put shampoo or shower gel and the paint on the wall needs renovation and there is the inconvenience of the doors, you hear them closing and opening next to the neighbors and the sounds of the neighbors, you hear them, so leave the building and the cleaners knock on your door at 10 o'clock in the morning before the time of exit, you go out and when you open it, he puts things in the room, the bed sheets and I am there, let me leave the apartment and go out two hours before the time of exit, frankly, I do not recommend it at all, look for an alternative"", 'Free cancellation before 3:00\u202fPM on Aug 12. Cancel before check-in on Aug 13 for a partial refund.', ""Review this Host's full policy for details.""]",[]
https://www.airbnb.com/rooms/1478949341815563563?search_mode=regular_search&adults=1&check_in=2025-08-21&check_out=2025-08-26&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3S7y7l84hJU0ODM&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Luxury studio,$195,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,طارق,[],"['TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Free parking on premises', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']","['Some info has been automatically translated.', 'Relax in this tranquil and elegant place. Studio located in the north of Riyadh, Almalqa neighborhood, designed with comfortable colors and modern furniture. It has a 70-inch screen. The studio is also close to the financial city and also close to the metro station for the financial city, 7 minutes away, and close to the boulevard, 11 minutes away.\nStudio consisting of one bedroom and a bathroom\n\n\n50015431', 'Average rating will appear after 3 reviews', 'Honestly, the room is the most wonderful. Everything in it is excellent and the experience will be repeated, God willing. The bed is comfortable and has a large screen with subscription and the location of the residence is fabulous. Everything around you and I want to thank Mr. Tariq for his kindness and interest', 'This reservation is non-refundable.', ""Review this Host's full policy for details.""]",[]
https://www.airbnb.com/rooms/1196385441738614552?search_mode=regular_search&adults=1&check_in=2025-08-12&check_out=2025-08-17&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3J74w0Pss7FX4RZ&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,A11 Studio near financial center,$242,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,Safe Haven,[],"['Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Clothing storage', 'TV', 'Air conditioning', 'Heating - split type ductless system', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Microwave', 'Cooking basics', 'Mini fridge', 'Hot water kettle', 'Trash compactor', 'Coffee', 'Free parking on premises', 'Free street parking', 'Elevator', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Smart lock', 'Housekeeping available from 12:00\u202fPM to 4:30\u202fAM, 3 days a week', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer']","['This home is a guest favorite based on ratings, reviews, and reliability', ""Over All it's excellent 👌 But only one thing the other host is very eager for the customer to leave the room alatul."", ""The studio was impeccably clean, providing a comfortable and welcoming atmosphere. Situated in a very quiet neighborhood, the location was perfect, offering easy access to some of the best places in the city, making my first visit to Riyadh very memorable.\nThe highlight of my stay was the host's Sultan exceptional responsiveness and helpfulness, ensuring that any questions or needs I had were promptly addressed. Their warmth and hospitality truly enhanced my stay.\nWithout a doubt, I plan on booking this fantastic place again the next time I visit Riyadh. Highly recommended!"", 'The room is beautiful and clean.', 'The room is beautiful and clean.', 'ممتاز', 'very calm \nthanks', 'Thank you', '👍🏻', 'The room is beautiful and clean.', 'The room is beautiful and clean.', 'The room is beautiful and clean.', 'Clean, lovely place with very nice shower and comfortable bed, strong WiFi, easy self entrance.', 'The place was clean and exactly as advertised. the host was very helpful and prompt with responses', 'ممتاز', 'Great location and apartment', 'The room is beautiful and clean.', 'The room is beautiful and clean.', 'The room is clean and beautiful.', 'Room beautiful and clean.', 'Room is beautiful and clean.', 'Thank you', '👍🏻👍🏻', 'Good', 'Clean and accessible']",[]
https://www.airbnb.com/rooms/1323990571884889037?search_mode=regular_search&adults=1&check_in=2025-08-15&check_out=2025-08-20&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3COshvYsdifXMzh&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Economy very small elegant private room (no wifi),$153,,1 guest,"['1 bedroom', '1 bed', '1 bath']",4.68,28,Waleed,[],"['Hot water', 'TV', 'Air conditioning', 'Refrigerator', 'Microwave', 'Mini fridge', 'Freezer', 'Hot water kettle', 'Laundromat nearby', 'Free street parking', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']","['As a woman solo traveler , i found a Comfortable and safe place to stay. Definitely will book again and will recommend to others. Some small issues like the shower and the flush but other amenities are very good. Restaurants, coffee shop and supermarkets nearby.', ""Room was good overall same as shown in the pictures, it's small enough but good for one or hardly two, what I suggest to add is towel and useable slippers in it for more better, and self check in method is good as well from locker box like it, but I don't like the way host treated me super n super late replies this need to improve that's it thanks for all."", 'My favorite place whenever visit Riyadh, nyctophobia door takeaway restaurant, fruit place, night coffeeshop. \nThe place is cozy, clean and simple, great value for the money.', 'Everything was good apart from there was no light in bedroom', 'Good room \neverything is clean + entrance', 'very good location and clean room . thanks Waleed .', 'رائع', '👍🏽', '.', ""It's always my first choice everytime I visit Riyadh"", 'Very awesome, and it is close to most government departments and large companies, in addition to the cleanliness of the house, the calmness and the cold air conditioning, as well as the courtesy of brother Walid.. a good destination, friends♥️.', 'Good', 'Good and very clean place', 'The annoyance of the building, the door under unclosed, and the dust, the hua and the light under the door, and also the annoyance of the neighbours, there are no insulators and the window of the room is not good, the sound and the hobby and the door is not fixed, where the crackling of the door from the hawa and the siphon of the bathroom is a difficult problem to pull the siphon', 'It’s very small but comfy', 'Clean accommodation, cooperative host, distinctive location, suitable price, if you are looking for an economical accommodation, you have reached the right choice 👌', 'Truth The dwelling is good and it has been accurately described but constitutes a lack of insulators and feels external sounds', 'Beautiful experience', 'Good stay', 'Good', 'The place is clean and everything around you and the price is convenient. I thank them and God', 'Very good place', 'A wonderful and beautiful experience..💙', 'Nice and quiet place']",[]
https://www.airbnb.com/rooms/1195811792189673766?search_mode=regular_search&adults=1&check_in=2025-08-14&check_out=2025-08-19&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3IiywdzpXqNlyJj&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Al Rabieh Hotel Studio - Self-entry 6,$202,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Talal,[],"['Hot water', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Refrigerator', 'Microwave', 'Hot water kettle', 'Coffee maker', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']","['This home is a guest favorite based on ratings, reviews, and reliability', 'Talal is a great host, however, the place needs a bit of maintenance.', 'Beautiful little studio, the entrance to the building is not so great but the actual studio is lovely and furnished just right. Great size TV, nice touch with the air freshners and a very helpful and responsive host. There are some nearby stores which make it very easy to get whatever you need.', 'Very good location, and clean appartment', 'the place is accesible, near restaurants and supermarket. the place is highly recommended.', 'Amazing host, great location, and everything we needed for a perfect stay. Highly recommended!', 'The location is very excellent, parking is available, the room is very tidy and clean, and Mr. Talal is very responsive and comfortable to deal with', '.', 'Great place', 'Thank you tala for your care about the place it was very clean and comfortable, \nWorthy experience. 👍🏻', 'The inside is clean and cozy.\nMy attention was drawn to the selection of beautiful lights. \nI expect with the completion of street maintenance from the outside, the value of the place will increase. \nMost importantly, Talal continues.', 'A spacious and clean place and the host is very cooperative and short.. but the only take is to disturb the street by virtue of the proximity of the place to a main road', 'Talal is a good  one, he is very responsive and polite, I recommend him for u guys.', 'I’ve enjoyed the stay and will visit again soon', 'Thank you Talal is a great deal and a clean place🙏🏼', '👍🏻👍🏻', 'Everything is excellent 👍🏽', 'Jameel', '👍👍', '👍🏼', 'The place is arranged and very clean and the owner of the house is immortal and quick to respond, although I was late to go out with the specified time, but he embarrassed me with his kindness', 'A beautiful place to visit from the cleanness, tranquillity and the location is distinctive 🌹', 'Respectful treatment and a clean and tidy place.', 'Beautiful … elegant … awesome … magnificent … worth repeating', 'It gives you wellness']",[]
https://www.airbnb.com/rooms/1184972187465678815?search_mode=regular_search&adults=1&check_in=2025-08-12&check_out=2025-08-17&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3_wR5_3xp-dWuAU&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Modern &amp; Spacious (الدخول ذاتي ) G8,$256,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Khalid,[],"['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Clothing storage', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Wifi', 'Dishes and silverware', 'Mini fridge', 'Hot water kettle', 'Trash compactor', 'Laundromat nearby', 'Free parking on premises', 'Free street parking', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']","['Some info has been automatically translated.', ""A distinctive apartment with a modern design by the well-known designer Mr. Fawaz Al-Raqas, featuring the latest designs and the best amenities. We care very much about the place of residence in terms of cleanliness and daily sterilization and we are distinguished by professional customer service.\n(We are proud of our customers' high rating of us).\n\nLuxurious studio apartment with modern design and bathroom.\n\n\nEnjoy a distinctive and quiet stay in a studio located in the Arid neighborhood with its modern and upscale design, allowing for long and short stays with self-check-in and its convenient location close to public services.\n\n\n- The bedroom includes a bed, comfortable medical pillows and hotel bedding, which helps to sleep comfortably and are changed daily.\n\n\n50017762"", 'This home is a guest favorite based on ratings, reviews, and reliability', 'The room was smaller than expected. Closed place with no windows. the bath water heater was defective. This made it inconvenient for me to enjoy a comfortable and relaxing shower. Also, I encountered difficulties with the wifi during my stay. The bath towels were cleaned but were worn need to be renewed.', 'At first, I liked the detailed explanation message and the pictures of the place of residence and the way to enter. The room is clean and tidy, and the bathroom is also clean. Thank you and keep it up.', ""I had a great stay at Khalid's place. The check-in process was smooth, and I appreciated the isolated room, which offered a real sense of privacy. The place was exceptionally clean, and the modern design added to the overall comfort. Additionally, the location is convenient, with plenty of stores and services nearby. Highly recommended for anyone looking for a clean, modern, and private place to stay."", 'This was a very pleasant stay. Very close to the airport and quiet and peaceful place. The host went above and beyond to make sure we got everything we needed. Would love to stay there again.', 'It is nice experience, cozy place, and feeling at home. \nEffective communication and fast response. \nI will book this place again once I come back. I highly recommend this place to stay in.', 'Nice stuff, their response is super fast, very helpful when I need the ironing and hangers, so I stayed longer and extended my reservation. There’s staff helped me to move my luggages.', 'Free cancellation before 5:00\u202fPM on Aug 11. Cancel before check-in on Aug 12 for a partial refund.', ""Review this Host's full policy for details.""]",[]
https://www.airbnb.com/rooms/1184976184295683945?search_mode=regular_search&adults=1&check_in=2025-08-12&check_out=2025-08-17&children=0&infants=0&pets=0&source_impression_id=p3_1754896597_P3bS3GrEwWkq_RFP&previous_page_section_name=1000&federated_search_id=4c047a7f-522d-4946-b6a5-955f48274105,,Calm &amp; Inviting (الدخول ذاتي ) F2,$256,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Khalid,[],"['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Clothing storage', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Wifi', 'Dishes and silverware', 'Mini fridge', 'Hot water kettle', 'Trash compactor', 'Laundromat nearby', 'Free parking on premises', 'Free street parking', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']","['Some info has been automatically translated.', ""A distinctive apartment with a modern design by the well-known designer Mr. Fawaz Al-Raqas, featuring the latest designs and the best amenities. We care very much about the place of residence in terms of cleanliness and daily sterilization and we are distinguished by professional customer service.\n(We are proud of our customers' high rating of us).\n\nLuxurious studio apartment with modern design and bathroom.\n\n\nEnjoy a distinctive and quiet stay in a studio located in the Arid neighborhood with its modern and upscale design, allowing for long and short stays with self-check-in and its convenient location close to public services.\n\n\n- The bedroom includes a bed, comfortable medical pillows and hotel bedding, which helps to sleep comfortably and are changed daily.\n\n\n50016205"", 'This home is a guest favorite based on ratings, reviews, and reliability', 'Very nice and quiet place, I had a short stay, 2 nights, but easy to commute via Uber to either Riyadh downtown and/or airport. Very responsive and polite host. Would probably stay there again in the future.', 'Nice and clean. Very responsive host', 'All good. great response from the host on all queries', 'all was great', 'Great place for short stay', 'Very good place.', 'Free cancellation before 5:00\u202fPM on Aug 11. Cancel before check-in on Aug 12 for a partial refund.', ""Review this Host's full policy for details.""]",[]
