URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/1123162598669960020?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379948_P391sDQSqpQOTS1H&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Noah Studio 1 &amp; Luxury bedroom apartment,$54,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1084058584124355503?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3tafTlL1ohBtDuC&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,2 single bed studio K3,$56,,2 guests,"['1 bedroom', '2 beds', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1424669788366219403?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3x_SsV4x1CRb-3E&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Luxury studio near Kingdom Tower,$89,,3 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1445067686258097170?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3ZG85h3F87avRx_&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Elegant Studio,$51,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1404351458336817650?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3ZqGcnDr-xxitFq&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,"Apartment that serves more than 11 government entities
No smoking once.",$59,,3 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1264805411779037982?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3_105DdanoGJPys&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Condo in Riyadh,The studio,$42,,3 guests,"['1 bedroom', '1 bed', 'Half-bath']",,,,[],[]
https://www.airbnb.com/rooms/1382762466682398546?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3rsCZi7DGFDUi7y&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,B106 studio close to airport,$49,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1468912692029842166?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3ITJB8EHzDng-Q7&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Neat Comfy Studio (no Wi-Fi),$35,,1 guest,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hot water', 'TV', 'Air conditioning', 'Refrigerator', 'Microwave', 'Mini fridge', 'Freezer', 'Hot water kettle', 'Laundromat nearby', 'Free street parking', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1451172527122638830?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3BD9fhKYoElfch6&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,"Luxurious apartment, one bedroom and a living room in Sulaymaniyah 315",$75,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1437231526132619929?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P33AIIqStArSwbst&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Modern Studio 30,$50,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1395546795569824682?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3LL3hSWn7ApUJ20&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Al Diriyah,Amber Seven | 1 Shared bed | Diriyah | Old Riyadh,$16,,1 guest,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1424569292900230203?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3MZj6qY65enKUuo&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Elegant studio near KAFD,$47,,3 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1331230712884105898?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3Pww40DXnYhO-cr&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Deluxe Smart Entrance Suite,$91,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1254178589061808232?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3W52PEF59fsycvV&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Nma'a Residences - النرجس · Elegant room and hall,$75,,3 guests,"['1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1450808882571831685?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2226811461&source_impression_id=p3_1753379950_P3H4tQXwx2jRV-3v&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Room in Riyadh,A distinctive studio behind the financial towers,$48,,1 bed,"['1 bed', 'No bathroom']",,,,[],[]
https://www.airbnb.com/rooms/1273234526853323296?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3FvLb1geXJqATZ8&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Livedin | Spacious 1BR | Rooftop | Outdoor Terrace,,,3 guests,"['1 bedroom', '1 bed', '2 baths']",,,,[],[]
https://www.airbnb.com/rooms/1448196954268002800?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P3CHYugxb1DDB6_m&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Home in Riyadh,Luxurious and quiet apartment 26,$50,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1442933231417185568?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379950_P34rY6QEXOE8ULiv&previous_page_section_name=1000&federated_search_id=7a49871e-5a82-4d3b-9934-df60a3a7f5fb,Apartment in Riyadh,Hadi Studio with self check-in 200,$54,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
