URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/1341217158529788291?search_mode=regular_search&adults=1&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P3-1mkIQ1bpWxFSK&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Place to stay in Al Yasmeen,Private room in shared apartment,$124,,1 guest,"['1 bed', '1 shared bath']",,,,[],"['Washer', 'TV', 'Air conditioning', 'Indoor fireplace', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Outdoor dining area', 'Free parking on premises', 'Smoking allowed', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1285514011906521787?search_mode=regular_search&adults=1&check_in=2025-08-23&check_out=2025-08-28&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P3k23JS6yOYZdUbn&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in Al Salam,Sunset Sunrise,$179,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Bed linens', '58 inch TV', 'Air conditioning', 'Heating - split type ductless system', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Microwave', 'Dishes and silverware', 'Hot water kettle', 'Free parking on premises', 'Free street parking', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/1402172943129229239?search_mode=regular_search&adults=1&check_in=2025-10-01&check_out=2025-10-06&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P31eqyrrbiwtBEvo&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in Al Taawun,Studio in the heart of Riyadh,$140,,3 guests,"['1 bedroom', '1 bed', '1 bath']",4.29,7,Elite Care,[],"['Washer', 'TV', 'Air conditioning', 'Smoke alarm', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Pets allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1041391936532027692?search_mode=regular_search&adults=1&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P3Q9C-nW5WQC1hKp&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in Al Nuzha,Studio 212,$194,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.7,44,,[],"['TV', 'Air conditioning', 'Dedicated workspace', 'Kitchen', 'Free parking on premises', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1229802957697268475?search_mode=regular_search&adults=1&check_in=2025-08-05&check_out=2025-08-10&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P3mMoSpzZVguWR42&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in Al Maseef,"Studio with ergonomic design, clever entry",$210,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.81,42,Suliman,[],"['Shampoo', 'Hot water', 'Shower gel', 'TV', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Refrigerator', 'Coffee maker: drip coffee maker', 'Coffee', 'Free parking on premises', 'Self check-in', 'Keypad', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/853302562951353271?search_mode=regular_search&adults=1&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P3AJ7mHulYCojeEo&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in Al Yasmeen,Bedroom with private bathroom,$190,,1 guest,"['1 bedroom', '1 bed', '1 bath']",,,Hailah,[],"['Air conditioning', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1463960481225053985?search_mode=regular_search&adults=1&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P32GWrmjCcENs47X&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in Al Sahafa,Studio in a unique location D4,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",5.0,4,فيصل,[],"['TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1449059184583781249?search_mode=regular_search&adults=1&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P3rql68hXe39alro&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in An-Narjis,Apartment close to airport,$210,,3 guests,"['1 bedroom', '1 bed', '1 bath']",5.0,4,Sayar سيار,[],"['Shampoo', 'Body soap', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Drying rack for clothing', 'Safe', 'Clothing storage: closet', 'TV', 'Life size games', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Refrigerator', 'Cooking basics', 'Freezer', 'Wine glasses', 'Kitchenette', 'Free street parking', 'Elevator', 'Self check-in', 'Keypad', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1116245066758468170?search_mode=regular_search&adults=1&check_in=2025-09-21&check_out=2025-09-26&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P3JnolakH9T-VSCN&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Condo in Al Malqa,2BR | 2Bath | Living Room - Art Design Inspired,$466,,4 guests,"['2 bedrooms', '2 baths']",,,Seen Apartments,[],"['Washer', 'TV', 'Air conditioning', 'Indoor fireplace', 'Exterior security cameras on property', 'Smoke alarm', 'Kitchen', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Coffee', 'Private entrance', 'Free parking on premises', 'Self check-in', 'Keypad', 'Unavailable: Wifi\nWifi', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1371107609308887652?search_mode=regular_search&adults=1&check_in=2025-08-05&check_out=2025-08-10&children=0&infants=0&pets=0&source_impression_id=p3_1753363431_P39cywS7LaKUnDVM&previous_page_section_name=1000&federated_search_id=f852e8bc-b236-4d4c-817b-97132b09b78a,Apartment in Riyadh,غرفة سائق,$59,,1 guest,"['1 bedroom', '1 bed', '1 bath']",5.0,3,,[],"['Washer', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen', 'Free parking on premises', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
