url,Title,Price,Address,Guest,Beds,Baths,Rating,Host_Name,Total_Reviews,Host_Info,Amenities
https://www.airbnb.com/rooms/1449059184583781249?search_mode=regular_search&adults=1&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P34dWprKGZlsal5L&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Apartment close to airport,$210,,3 guests,1 bedroom,1 bath,,Sayar,,[],[]
https://www.airbnb.com/rooms/1409522976598940235?search_mode=regular_search&adults=1&check_in=2025-07-15&check_out=2025-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3FQU4iaBA-RtB47&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Elegant Apartment 101-self check in,$286,,2 guests,1 bedroom,1 bath,,Alhanouf,,[],[]
https://www.airbnb.com/rooms/1461609796801654663?search_mode=regular_search&adults=1&check_in=2025-07-16&check_out=2025-07-21&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3ShuowIc5IlcEhg&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Self check-in Narcissus Studio,$268,,4 guests,1 bedroom,1 bath,,,,[],[]
https://www.airbnb.com/rooms/1180484327579329938?search_mode=regular_search&adults=1&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3QyjnAGIxBZgMMY&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Self-enterating VIP Studio 10,$212,,2 guests,1 bedroom,1 bath,,,,[],[]
https://www.airbnb.com/rooms/1426727557158942784?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3IYcQiD6XfpoReG&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Self-entry room and salon 15,$219,,3 guests,1 bedroom,1 bath,,,,[],[]
https://www.airbnb.com/rooms/1359611177430917183?search_mode=regular_search&adults=1&check_in=2025-07-20&check_out=2025-07-25&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P36Adad3RjqxGEjL&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,"A luxurious studio with an upscale building
Smart Screen | Self-Add|Wifi",$223,,2 guests,1 bedroom,1 bath,4.88,Nawaf,16,[],[]
https://www.airbnb.com/rooms/1264618980230393014?search_mode=regular_search&adults=1&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3DOOa4C0_sR6ju1&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Luxury Hotel Studio with Self - V002,$250,,2 guests,1 bedroom,1 bath,4.85,Saeed,20,[],[]
https://www.airbnb.com/rooms/1453752787650951219?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P32IQr7Ja_VLeXAw&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Airport Haven O3,$226,,4 guests,1 bedroom,1 bath,,Ben Adel,,[],[]
https://www.airbnb.com/rooms/1264597250240711868?search_mode=regular_search&adults=1&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3hN-aw5EOPwP_on&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Luxury Autonomous Apartment - V105,$375,,2 guests,1 bedroom,1 bath,,Saeed,,[],[]
https://www.airbnb.com/rooms/1400147884995011194?search_mode=regular_search&adults=1&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3TXd7nBk3vnLoGK&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Studio 44 – Al Narjis,$257,,3 guests,1 bedroom,1 bath,4.7,Muataz Marwan I,10,[],[]
https://www.airbnb.com/rooms/1416821673384214296?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3Lvq93m4or2OfLw&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,NBB10 Luxury Hotel Apartment Al Nargis,$489,,4 guests,2 bedrooms,2.5 baths,,Abdulaziz,,[],[]
https://www.airbnb.com/rooms/1296308659833221957?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3irrsvy5YCdsclh&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,"Nachos, 1Bed-1Liv Aprt Long Stay in An Narjis",$287,,2 guests,1 bedroom,1 bath,,Emad,,[],[]
https://www.airbnb.com/rooms/1426579781900416256?search_mode=regular_search&adults=1&check_in=2025-07-19&check_out=2025-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3c6bNpzFDFilB4v&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Details luxury Apartmen| Self-entry|Al Aarid | HAN,$668,,5 guests,3 bedrooms,2.5 baths,5.0,Han,3,[],[]
https://www.airbnb.com/rooms/1435625292508525058?search_mode=regular_search&adults=1&check_in=2025-07-15&check_out=2025-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3IF7ygqSxT8tONP&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Luxury hotel apartment NG10 in Al-Narjis neighborhood,$552,,5 guests,2 bedrooms,2.5 baths,,Abdulaziz,,[],[]
https://www.airbnb.com/rooms/1429023820546093631?search_mode=regular_search&adults=1&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3FVAXjUf_LkxGJ6&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,An Narjis Condo Apartment 1,$233,,1 guest,1 bedroom,1 bath,5.0,Khalid Yaser,4,[],[]
https://www.airbnb.com/rooms/1382271080218945677?search_mode=regular_search&adults=1&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3_jGoRwDcFv3M5a&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Narcissus A- Stylish hotel design studio with balcony#N04,$309,,2 guests,1 bedroom,1 bath,4.83,Tree,6,[],[]
https://www.airbnb.com/rooms/1424916039655778450?search_mode=regular_search&adults=1&check_in=2025-07-18&check_out=2025-07-23&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3fSMPBJmn1-hNtn&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Modern Home Loft / Near Airport,$503,,4 guests,2 bedrooms,3 baths,,Nawaf,,[],[]
https://www.airbnb.com/rooms/1403104029923132304?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752482905_P3VOVraWeviTmkHK&previous_page_section_name=1000&federated_search_id=5ff7adf9-e41f-4565-82ab-7898e170ef8f,Sawa Motel | Details make the difference,$447,,2 guests,1 bedroom,1 bath,,Abdullah,,[],[]
