URL,Listing Title,Price,Price Frequency,District,location,Beds,Baths,Area,Residential Type,Phone,amenities,Deed Location,Furnishing,Reactivated Date,Agency Name,Agent Name
https://www.bayut.sa/en/property/details-87672655.html,"One-bedroom apartment for rent, Al Safa","15,600",Yearly,Al Safa,"Al Safa, East Riyadh, Riyadh",1,1,375 Sq. M.,Apartment,-1994,"Electricity, Sewerage, Water Supply",حي الصفا بمدينة الرياض .,Unfurnished,22 May 2025,,
https://www.bayut.sa/en/property/details-87672655.html,"One-bedroom apartment for rent, Al Safa","15,600",Yearly,Al Safa,"Al Safa, East Riyadh, Riyadh",1,1,375 Sq. M.,Apartment,-1994,"Electricity, Sewerage, Water Supply",حي الصفا بمدينة الرياض .,Unfurnished,22 May 2025,,
https://www.bayut.sa/en/property/details-87672655.html,"One-bedroom apartment for rent, Al Safa","15,600",Yearly,Al Safa,"Al Safa, East Riyadh, Riyadh",1,1,375 Sq. M.,Apartment,-1994,"Electricity, Sewerage, Water Supply",حي الصفا بمدينة الرياض .,Unfurnished,22 May 2025,,
https://www.bayut.sa/en/property/details-87700202.html,"Riyadh, Al-Naseem Al-Sharqi District","16,000",Yearly,Al Nasim Al Sharqi,"Al Nasim Al Sharqi, East Riyadh, Riyadh",2,1,520 Sq. M.,Apartment,-2525,"Electricity, Fiber Optics, Fixed Phone, Sewerage, Water Supply",,Unfurnished,23 July 2025,Dar Al Ayyadi Real Estate Company,Dar Al Ayyadi Real Estate Company
https://www.bayut.sa/en/property/details-87700202.html,"Riyadh, Al-Naseem Al-Sharqi District","16,000",Yearly,Al Nasim Al Sharqi,"Al Nasim Al Sharqi, East Riyadh, Riyadh",2,1,520 Sq. M.,Apartment,-2525,"Electricity, Fiber Optics, Fixed Phone, Sewerage, Water Supply",,Unfurnished,23 July 2025,Dar Al Ayyadi Real Estate Company,Dar Al Ayyadi Real Estate Company
https://www.bayut.sa/en/property/details-87700202.html,"Riyadh, Al-Naseem Al-Sharqi District","16,000",Yearly,Al Nasim Al Sharqi,"Al Nasim Al Sharqi, East Riyadh, Riyadh",2,1,520 Sq. M.,Apartment,-2525,"Electricity, Fiber Optics, Fixed Phone, Sewerage, Water Supply",,Unfurnished,23 July 2025,Dar Al Ayyadi Real Estate Company,Dar Al Ayyadi Real Estate Company
https://www.bayut.sa/en/property/details-87685870.html,"Apartment For Rent in Al Khalidiyah, Riyadh","18,000",Yearly,Al Khalidiyah,"Al Khalidiyah, Central Riyadh, Riyadh",1,1,210 Sq. M.,Apartment,-3142,"Electricity, Fiber Optics, Fixed Phone, Flood Drainage, Sewerage, Water Supply",حي الخالدية بمدينة الرياض .,Unfurnished,7 July 2025,Moath Mohammed Real Estate Company,Moath CO
https://www.bayut.sa/en/property/details-87685870.html,Apartment in Central Riyadh，Al Khalidiyah 1 bedroom 18000 SAR - 87685870,"18,000",Yearly,Al Khalidiyah,"Al Khalidiyah, Central Riyadh, Riyadh",1,1,210 Sq. M.,Apartment,-3142,"Electricity, Fiber Optics, Fixed Phone, Flood Drainage, Sewerage, Water Supply",حي الخالدية بمدينة الرياض .,Unfurnished,7 July 2025,Moath Mohammed Real Estate Company,Moath CO
https://www.bayut.sa/en/property/details-87685870.html,"Apartment For Rent in Al Khalidiyah, Riyadh","18,000",Yearly,Al Khalidiyah,"Al Khalidiyah, Central Riyadh, Riyadh",1,1,210 Sq. M.,Apartment,-3142,"Electricity, Fiber Optics, Fixed Phone, Flood Drainage, Sewerage, Water Supply",حي الخالدية بمدينة الرياض .,Unfurnished,7 July 2025,Moath Mohammed Real Estate Company,Moath CO
https://www.bayut.sa/en/property/details-87685870.html,"Apartment For Rent in Al Khalidiyah, Riyadh","18,000",Yearly,Al Khalidiyah,"Al Khalidiyah, Central Riyadh, Riyadh",1,1,210 Sq. M.,Apartment,-2260,"Electricity, Fiber Optics, Fixed Phone, Flood Drainage, Sewerage, Water Supply",حي الخالدية بمدينة الرياض .,Unfurnished,7 July 2025,Moath Mohammed Real Estate Company,Moath CO
https://www.bayut.sa/en/property/details-87685870.html,"Apartment For Rent in Al Khalidiyah, Riyadh","18,000",Yearly,Al Khalidiyah,"Al Khalidiyah, Central Riyadh, Riyadh",1,1,210 Sq. M.,Apartment,-2260,"Electricity, Fiber Optics, Fixed Phone, Flood Drainage, Sewerage, Water Supply",حي الخالدية بمدينة الرياض .,Unfurnished,7 July 2025,Moath Mohammed Real Estate Company,Moath CO
https://www.bayut.sa/en/property/details-87687654.html,"Villa for Rent in Al Rimal, East Riyadh","18,000",Yearly,Al Rimal,"Al Rimal, East Riyadh, Riyadh",1,1,396 Sq. M.,Villa,-7196,"Electricity, Sewerage, Water Supply",حي الرمال في مدينة الرياض,Unfurnished,10 July 2025,,
https://www.bayut.sa/en/property/details-87685870.html,"Apartment For Rent in Al Khalidiyah, Riyadh","18,000",Yearly,Al Khalidiyah,"Al Khalidiyah, Central Riyadh, Riyadh",1,1,210 Sq. M.,Apartment,-2260,"Electricity, Fiber Optics, Fixed Phone, Flood Drainage, Sewerage, Water Supply",حي الخالدية بمدينة الرياض .,Unfurnished,7 July 2025,Moath Mohammed Real Estate Company,Moath CO
https://www.bayut.sa/en/property/details-87685870.html,"Apartment For Rent in Al Khalidiyah, Riyadh","18,000",Yearly,Al Khalidiyah,"Al Khalidiyah, Central Riyadh, Riyadh",1,1,210 Sq. M.,Apartment,-2260,"Electricity, Fiber Optics, Fixed Phone, Flood Drainage, Sewerage, Water Supply",حي الخالدية بمدينة الرياض .,Unfurnished,7 July 2025,Moath Mohammed Real Estate Company,Moath CO
