url,Title,Price,Address,Guest,Bed_Bath_Details,Reviews,Host_Name,Total_Reviews,Host_Info
https://www.airbnb.com/rooms/672259478206366300?search_mode=regular_search&adults=1&category_tag=Tag%3A8102&check_in=2025-09-07&check_out=2025-09-12&children=0&infants=0&pets=0&photo_id=1736690194&source_impression_id=p3_1752057958_P3imumxvX1DYxKpF&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Firefly Bungalow. Cozy treehouse guesthouse.,,,,[],[],,,[]
https://www.airbnb.com/rooms/16359106?search_mode=regular_search&adults=1&category_tag=Tag%3A4104&check_in=2025-07-16&check_out=2025-07-21&children=0&infants=0&pets=0&photo_id=1398904544&source_impression_id=p3_1752057958_P3eOsn7HLkus6EPm&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Serenity House~ a treehouse *Newly Updated*,,,4 guests,['d! This place is usually booked'],[],,,[]
https://www.airbnb.com/rooms/1289040278110054662?search_mode=regular_search&adults=1&check_in=2025-10-05&check_out=2025-10-10&children=0&infants=0&pets=0&source_impression_id=p3_1752057958_P3idnSInPe4SXy7y&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Oakey Mountain Mirror Haus,,,2 guests,['d! This place is usually booked'],[],,,[]
https://www.airbnb.com/rooms/1448086650176198431?search_mode=regular_search&adults=1&category_tag=Tag%3A8102&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&photo_id=2222069763&source_impression_id=p3_1752057958_P3IH9AcXtxnNGTWh&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Tiny luxury mirror cabin in mountains + hot tub,,,2 guests,[],[],Tanya,,[]
https://www.airbnb.com/rooms/1167538265617037615?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-16&check_out=2025-07-21&children=0&infants=0&pets=0&photo_id=1918522480&source_impression_id=p3_1752057958_P36EdUBsOquQvvA_&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Room with a retiree,,,1 bed,['d! This place is usually booked'],[],Darlene,,[]
https://www.airbnb.com/rooms/1430009759430529905?search_mode=regular_search&adults=1&category_tag=Tag%3A8173&check_in=2025-08-31&check_out=2025-09-05&children=0&infants=0&pets=0&photo_id=2206718755&source_impression_id=p3_1752057958_P3VyzwM1qlkR3xTJ&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Sven Dome -5 min to Grand Marais,,,3 guests,['d! This place is usually booked'],[],,,[]
https://www.airbnb.com/rooms/48913506?search_mode=regular_search&adults=1&category_tag=Tag%3A5366&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&photo_id=1322960605&source_impression_id=p3_1752057958_P3gUjD9teB5ZcG-s&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,The Coalmont Cabin – Romantic Lakefront Escape,,,4 guests,['d! This place is usually booked'],[],Ryan And Genette,,[]
https://www.airbnb.com/rooms/757432534963432829?search_mode=regular_search&adults=1&category_tag=Tag%3A8528&check_in=2025-09-07&check_out=2025-09-12&children=0&infants=0&pets=0&photo_id=1546488200&source_impression_id=p3_1752057958_P3Y-uVfznv_GhV4_&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Bide In The Trees - Luxe Treehouse with Skywalk,,,2 guests,['d! This place is usually booked'],[],,,[]
https://www.airbnb.com/rooms/1213182528278699490?search_mode=regular_search&adults=1&category_tag=Tag%3A8188&check_in=2025-07-21&check_out=2025-07-26&children=0&infants=0&pets=0&photo_id=1986169189&source_impression_id=p3_1752057958_P3TJogmPqbmeNpi8&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Fern Oak Off-Grid Treehouse,,,2 guests,['d! This place is usually booked'],[],Marnie,,[]
https://www.airbnb.com/rooms/1240092252678687167?search_mode=regular_search&adults=1&category_tag=Tag%3A8144&check_in=2025-08-10&check_out=2025-08-15&children=0&infants=0&pets=0&photo_id=2063495231&source_impression_id=p3_1752057958_P3OUsMjtqlAZ2qWq&previous_page_section_name=1000&federated_search_id=4ef42101-eda7-4dc0-9fbf-acc656a7c264,Squirrel Creek Cabin,,,4 guests,[],[],,,[]
