URL,Title,Price (5 Nights),Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/953989203005192287,Luxury Deluxe Room 014,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.72,173,,[],[]
https://www.airbnb.com/rooms/1222504596950126150,Modern Studio Neighborhood Almalqa Private,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.46,26,,[],[]
https://www.airbnb.com/rooms/852735455035493810,1bedroom with  private bathroom and door access,,,1 guest,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1246416352080586291,Quite and stylish studio,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1367919323438928609,Luxury Studio in Al-Aqiq,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1221902479149995345,Luxurious Apartment near from Riyadh season,,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1263605464683662409,Elegant Self-entry Studio A5 Featured Location,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1455552844060434799,"Elegant Studio, Al-Muazliyah District 208",,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1276765081073788923,Luxury Studio next to the MA1 Boulevard,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1437231526132619929,Modern Studio 30,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1299364566519238005,Studio- Hittin 231,,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1456451764990228510,A very small studio in Jasmine neighborhood.,,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1239004517964897147,Studio Irtahal 37 with smart entry,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1359611177430917183,"A luxurious studio with an upscale building
Smart Screen | Self-Add|Wifi",,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.89,19,,[],[]
https://www.airbnb.com/rooms/1236953134014071199,Luxury Studio Near KAFD,,,3 guests,"['1 bed', '1 bath']",4.84,19,,[],[]
https://www.airbnb.com/rooms/1185004510811413735,Contemporary &amp; Homely ( دخول ذاتي ) S7,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1184872211517379898,Modern &amp; Spacious (الدخول ذاتي ) G6,,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1074628408702353919,Small and Integrated Room M10 (Self-entry ),,,1 guest,"['1 bedroom', '1 bath']",4.54,35,,[],[]
